ETC,DEPARTAMENTO,MUNICIPIO,AÑO,CÓDIGO_MUNICIPIO,CÓDIGO_DEPARTAMENTO,CÓDIGO_ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
Dosquebradas,Risaralda,Dosquebradas,2016,66170,66,3807,37661,83.6,83.56,56.27,84.61,74.81,40.54,93.36,77.45,102.66,98.86,68.43,90.28,3.69,4.03,2.53,5.36,2.92,87.88,0.98,92.71,80.07,89.02,8.43,4.75,14.57,8.07,0.71,0.16,0.48,1.24,0.28
Risaralda (ETC),Risaralda,La Celia,2016,66383,66,3805,1819,67.7,67.67,32.9,67.32,58.71,29.43,76.2,56.13,81.36,85.41,54.85,16.67,5.2,5.75,3.55,7.58,4.17,94.8,0.0,96.45,92.42,95.83,0.0,0.0,0.0,0.0,0.16,1.15,0.16,0.0,0.0
Risaralda (ETC),Risaralda,La Virginia,2016,66400,66,3805,6480,88.0,87.99,48.63,80.58,83.78,50.66,98.97,74.86,103.21,111.2,75.89,80.0,3.89,4.89,2.74,5.21,3.29,96.06,0.0,97.26,94.79,96.3,0.05,0.0,0.0,0.41,1.25,0.73,0.89,1.97,0.55
Risaralda (ETC),Risaralda,Marsella,2016,66440,66,3805,4661,66.9,66.94,45.26,65.47,55.89,18.27,77.6,73.42,84.64,84.57,49.06,46.15,6.7,6.45,3.13,10.22,10.86,93.22,0.0,96.87,89.78,88.16,0.09,0.0,0.0,0.99,2.12,0.72,1.69,3.22,0.99
Risaralda (ETC),Risaralda,Mistrató,2016,66456,66,3805,4557,76.6,76.56,37.41,77.0,41.98,24.93,97.76,77.22,143.87,67.66,42.8,30.36,3.67,3.73,3.21,4.91,2.97,96.25,0.0,96.79,95.09,95.91,0.08,0.0,0.0,1.12,2.92,0.0,2.84,3.76,4.09
Risaralda (ETC),Risaralda,Pueblo Rico,2016,66572,66,3805,3758,109.2,109.23,86.3,103.44,53.21,25.52,142.18,151.02,191.15,104.11,78.5,23.17,4.26,2.12,1.68,11.01,5.61,95.65,0.0,98.32,88.99,92.98,0.09,0.0,0.0,1.4,0.81,0.0,0.94,0.92,0.7
Risaralda (ETC),Risaralda,Quinchía,2016,66594,66,3805,7661,71.9,71.87,41.35,66.11,67.7,40.68,84.24,60.7,78.95,97.55,84.49,44.05,3.86,2.66,1.62,6.5,4.46,95.84,0.0,98.38,93.5,93.24,0.31,0.0,0.0,2.3,1.49,0.24,2.25,1.3,0.26
Risaralda (ETC),Risaralda,Santa Rosa de Cabal,2016,66682,66,3805,14434,85.1,85.09,53.85,80.02,76.68,42.15,99.56,83.23,104.11,108.25,79.31,47.89,4.43,4.5,3.14,6.56,2.8,95.51,0.0,96.86,93.44,96.73,0.06,0.0,0.0,0.48,2.51,0.44,1.69,4.35,1.36
Risaralda (ETC),Risaralda,Santuario,2016,66687,66,3805,3308,70.0,69.95,41.2,62.82,62.76,25.41,79.41,62.68,83.65,92.86,50.28,27.03,5.56,12.36,3.43,7.55,2.36,94.4,0.0,96.57,92.45,97.17,0.04,0.0,0.0,0.47,0.08,0.0,0.09,0.11,0.0
Bucaramanga,Santander,Bucaramanga,2016,68001,68,3809,93859,101.1,100.78,69.62,100.72,86.82,58.29,111.88,107.79,115.52,112.23,104.96,93.5,5.45,6.2,5.18,6.66,2.66,91.9,0.08,93.3,88.69,94.85,2.65,1.52,4.65,2.49,2.15,0.48,1.67,3.44,1.22
Santander (ETC),Santander,Aguada,2016,68013,68,3808,375,71.7,71.73,37.14,66.88,73.55,54.84,78.67,54.29,71.97,96.69,74.19,12.5,0.71,5.26,0.0,0.95,0.0,96.44,0.0,94.69,98.1,97.73,2.85,5.31,0.95,2.27,0.0,0.0,0.0,0.0,0.0
Santander (ETC),Santander,Albania,2016,68020,68,3808,1184,52.6,52.62,33.98,42.8,50.8,27.05,58.78,59.22,51.8,71.66,52.17,20.83,2.94,0.0,0.77,5.02,4.95,95.74,0.0,99.23,92.28,93.07,1.32,0.0,2.7,1.98,0.88,0.0,0.0,1.54,1.98
Santander (ETC),Santander,Aratoca,2016,68051,68,3808,1714,92.0,92.01,38.36,89.36,87.43,67.82,108.05,68.49,102.66,125.84,106.57,63.64,0.67,3.0,0.27,0.88,0.41,95.99,0.0,98.09,92.81,96.72,3.34,1.64,6.32,2.87,0.24,0.0,0.41,0.18,0.0
Santander (ETC),Santander,Barbosa,2016,68077,68,3808,5890,95.3,95.2,53.08,95.73,79.03,55.23,108.62,94.04,114.23,109.99,99.18,69.23,4.22,4.27,2.13,6.74,5.0,89.94,0.36,96.16,80.07,90.93,5.85,1.71,13.19,4.07,3.76,0.36,1.35,7.23,5.0
Santander (ETC),Santander,Barichara,2016,68079,68,3808,1497,88.4,88.18,41.27,94.21,80.65,51.78,96.66,74.6,103.22,103.43,78.26,55.0,2.29,2.56,0.55,4.61,1.81,95.5,0.0,98.35,90.78,97.59,2.21,1.1,4.61,0.6,0.57,1.28,0.37,0.92,0.0
Barrancabermeja,Santander,Barrancabermeja,2016,68081,68,3810,38168,119.8,119.55,79.45,123.05,98.27,54.48,133.95,137.05,148.21,132.18,101.69,5.61,3.48,5.72,2.35,4.69,2.82,87.54,1.44,91.31,81.24,87.9,8.98,6.34,14.07,9.29,5.48,2.01,3.58,9.29,3.77
Santander (ETC),Santander,Betulia,2016,68092,68,3808,1174,96.4,96.42,40.78,89.6,94.29,46.24,107.58,101.94,107.4,126.23,72.58,27.27,3.71,2.86,2.98,4.41,5.13,93.4,0.95,96.46,90.53,88.03,2.89,0.56,5.07,6.84,2.64,0.95,1.86,4.19,1.71
Santander (ETC),Santander,Bolívar,2016,68101,68,3808,2738,75.2,75.24,28.74,71.55,73.47,32.58,85.39,61.13,84.83,104.54,62.22,16.67,2.68,3.31,1.82,3.74,2.14,94.28,0.66,95.76,92.16,94.44,3.04,2.42,4.1,3.42,1.0,1.32,1.21,0.97,0.0
Santander (ETC),Santander,Cabrera,2016,68121,68,3808,531,58.2,58.19,27.66,59.73,55.88,28.41,63.47,44.68,70.35,69.41,44.32,25.0,1.56,0.0,0.0,3.74,2.94,98.44,0.0,100.0,96.26,97.06,0.0,0.0,0.0,0.0,0.31,0.0,0.63,0.0,0.0
Santander (ETC),Santander,California,2016,68132,68,3808,442,67.0,66.97,48.72,70.81,59.59,37.5,75.79,84.62,80.54,78.77,52.78,24.213944352824456,2.18,3.03,2.01,1.98,2.63,97.82,0.0,97.99,98.02,97.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santander (ETC),Santander,Capitanejo,2016,68147,68,3808,1065,89.6,89.58,58.51,81.6,89.21,49.15,100.09,70.21,92.24,125.07,87.57,12.5,2.16,0.0,1.2,3.49,2.56,73.46,1.52,90.14,57.37,51.28,24.38,8.65,39.14,46.15,0.93,0.0,0.72,0.0,5.13
Santander (ETC),Santander,Carcasí,2016,68152,68,3808,944,81.1,81.14,61.18,81.0,74.59,32.05,94.39,74.12,92.5,112.21,75.64,16.13,1.62,3.17,1.08,1.79,2.22,93.27,1.59,94.86,89.25,97.78,5.11,4.05,8.96,0.0,0.12,0.0,0.27,0.0,0.0
Santander (ETC),Santander,Cepitá,2016,68160,68,3808,397,92.2,92.19,47.22,97.63,76.56,43.75,107.56,86.11,111.83,113.28,96.88,7.69,1.65,0.0,1.06,2.83,2.7,95.59,0.0,98.94,88.68,94.59,2.75,0.0,8.49,2.7,0.0,0.0,0.0,0.0,0.0
Santander (ETC),Santander,Cerrito,2016,68162,68,3808,1244,90.4,90.35,56.6,85.63,86.76,44.71,104.18,82.08,99.23,121.08,94.71,24.0,1.61,2.3,0.58,2.8,1.37,94.15,2.3,98.46,88.55,94.52,4.24,0.97,8.64,4.11,0.25,1.15,0.39,0.0,0.0
Santander (ETC),Santander,Charalá,2016,68167,68,3808,2216,103.1,103.11,49.19,95.46,92.72,70.6,124.59,108.65,116.0,132.35,138.74,25.0,2.13,6.97,0.98,2.04,2.83,91.89,3.98,95.97,88.32,90.75,5.98,3.05,9.64,6.43,1.08,0.0,1.18,1.47,0.51
Santander (ETC),Santander,Charta,2016,68169,68,3808,480,85.2,85.21,65.12,78.26,70.7,50.68,94.79,104.65,87.92,101.91,93.15,35.71,1.18,0.0,1.65,1.39,0.0,91.96,0.0,90.11,88.89,100.0,6.86,8.24,9.72,0.0,0.0,0.0,0.0,0.0,0.0
Santander (ETC),Santander,Chima,2016,68176,68,3808,504,91.9,91.87,53.19,94.34,77.92,56.04,98.02,82.98,111.32,97.4,75.82,33.33,2.63,0.0,0.85,6.06,4.0,96.72,0.0,97.88,93.94,96.0,0.66,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santander (ETC),Santander,Chipatá,2016,68179,68,3808,980,67.7,67.65,28.41,63.86,75.87,43.21,72.04,48.86,71.81,88.89,52.47,35.71,0.87,0.0,0.0,1.89,1.22,96.51,0.0,99.66,92.83,95.12,2.62,0.34,5.28,3.66,0.44,2.33,0.34,0.38,0.0
Santander (ETC),Santander,Cimitarra,2016,68190,68,3808,11011,64.9,64.85,28.41,65.63,51.43,30.96,74.75,60.25,81.71,77.24,59.34,29.29,6.19,8.73,5.43,8.04,2.01,90.92,0.18,91.9,88.04,95.12,2.89,2.67,3.91,2.87,0.29,0.18,0.28,0.44,0.0
Santander (ETC),Santander,Concepción,2016,68207,68,3808,1026,89.1,89.08,65.52,97.89,65.58,36.57,105.56,83.91,113.11,112.46,84.57,24.14,1.44,0.0,1.24,2.73,0.0,87.47,0.0,96.27,69.14,82.22,11.09,2.48,28.13,17.78,0.22,0.0,0.21,0.39,0.0
Santander (ETC),Santander,Confines,2016,68209,68,3808,526,83.7,83.65,54.35,90.09,68.05,40.45,97.53,80.43,99.55,109.47,78.65,10.0,3.39,2.7,2.26,6.43,0.0,96.61,0.0,97.74,93.57,100.0,0.0,0.0,0.0,0.0,0.9,0.0,1.36,0.71,0.0
Santander (ETC),Santander,Contratación,2016,68211,68,3808,834,79.1,79.14,44.0,74.71,80.3,38.78,90.29,49.33,82.76,117.05,80.95,18.18,2.18,2.7,0.69,2.65,5.05,87.5,0.0,92.71,79.92,88.89,10.32,6.6,17.42,6.06,0.15,0.0,0.35,0.0,0.0
Santander (ETC),Santander,Coromoro,2016,68217,68,3808,1586,60.0,59.96,36.36,59.37,47.24,25.0,68.92,60.84,73.61,74.02,51.87,23.33,1.91,1.15,0.81,3.85,1.94,87.11,0.0,92.06,73.08,96.12,10.98,7.13,23.08,1.94,2.01,4.6,2.85,0.32,0.97
Santander (ETC),Santander,Curití,2016,68229,68,3808,2353,88.4,88.36,34.47,90.36,83.75,54.07,100.13,79.13,102.94,113.61,78.77,33.33,2.29,5.52,0.89,3.39,2.6,96.15,0.61,97.34,95.12,95.91,1.56,1.78,1.49,1.49,0.14,0.0,0.1,0.27,0.0
Santander (ETC),Santander,El Carmen de Chucurí,2016,68235,68,3808,4213,76.1,76.07,48.36,75.75,65.14,29.24,86.61,75.68,90.65,102.4,51.55,33.33,3.62,4.94,2.38,5.46,2.29,89.73,0.38,93.81,82.33,90.46,6.65,3.81,12.21,7.25,0.66,0.0,0.69,0.93,0.0
Santander (ETC),Santander,El Guacamayo,2016,68245,68,3808,384,93.0,92.97,51.43,84.47,91.94,51.56,98.44,77.14,98.14,119.35,70.31,15.38,4.5,0.0,2.53,8.11,2.22,91.01,0.0,96.84,83.78,88.89,4.5,0.63,8.11,8.89,0.26,3.7,0.0,0.0,0.0
Santander (ETC),Santander,El Peñón,2016,68250,68,3808,1300,72.2,72.23,27.42,79.78,51.52,29.87,81.92,58.06,99.64,79.8,56.28,18.18,5.69,0.0,3.29,13.08,3.77,87.82,0.0,92.32,78.08,80.19,6.5,4.39,8.85,16.04,0.0,0.0,0.0,0.0,0.0
Santander (ETC),Santander,El Playón,2016,68255,68,3808,2661,105.2,105.19,66.95,104.32,85.02,40.05,115.48,102.97,126.52,127.42,68.25,23.4,5.2,6.17,3.0,8.44,4.26,87.51,0.0,93.44,76.52,90.21,7.29,3.56,15.04,5.53,1.25,1.23,0.84,2.06,0.43
Santander (ETC),Santander,Encino,2016,68264,68,3808,474,85.4,85.44,58.33,89.05,75.52,31.51,97.26,85.42,99.52,107.69,78.08,7.14,3.9,0.0,1.91,7.58,7.14,85.85,0.0,95.69,67.42,78.57,10.24,2.39,25.0,14.29,4.63,0.0,5.26,6.06,0.0
Santander (ETC),Santander,Enciso,2016,68266,68,3808,626,105.3,105.27,65.45,92.83,110.0,63.21,122.04,89.09,101.51,171.0,98.11,25.0,2.65,8.16,0.74,2.24,6.45,88.51,0.0,94.42,84.7,80.65,8.84,4.83,13.06,12.9,1.62,0.0,1.49,2.61,0.0
Santander (ETC),Santander,Florián,2016,68271,68,3808,1443,71.9,71.93,33.33,61.92,72.49,33.33,80.6,61.24,77.98,101.53,58.73,36.67,1.94,0.0,1.06,2.67,3.68,93.48,0.0,95.75,89.76,94.12,4.58,3.18,7.57,2.21,1.5,0.0,1.06,2.67,0.0
Floridablanca,Santander,Floridablanca,2016,68276,68,3811,46718,93.4,92.91,66.42,94.03,83.04,49.29,100.32,95.28,105.42,106.12,80.16,100.0,2.81,4.33,2.0,3.61,2.37,90.08,0.05,93.83,84.77,90.59,7.11,4.18,11.62,7.04,1.18,0.32,1.08,1.76,0.22
Santander (ETC),Santander,Galán,2016,68296,68,3808,458,110.0,109.83,56.1,101.49,93.88,100.0,132.1,114.63,114.36,142.86,172.06,44.44,2.31,6.38,2.16,2.6,0.0,93.46,2.13,94.81,92.86,92.05,4.23,3.03,4.55,7.95,0.77,0.0,1.73,0.0,0.0
Santander (ETC),Santander,Gambita,2016,68298,68,3808,1077,69.7,69.73,42.57,77.97,51.92,17.24,77.81,62.38,92.66,84.37,34.48,28.57,4.42,4.76,2.8,7.79,0.0,92.73,0.0,93.24,90.16,100.0,2.86,3.96,2.05,0.0,0.0,0.0,0.0,0.0,0.0
Girón,Santander,Girón,2016,68307,68,3812,36747,73.6,73.6,50.15,75.71,62.25,36.79,82.84,81.51,89.34,85.29,63.51,54.1,5.75,7.64,5.35,6.57,3.66,87.3,1.03,89.33,82.69,90.53,6.95,5.31,10.74,5.82,7.81,3.54,6.49,12.2,2.63
Santander (ETC),Santander,Guaca,2016,68318,68,3808,1217,81.7,81.68,50.47,86.65,71.57,30.15,92.44,57.94,98.07,110.91,59.8,13.89,1.55,0.0,0.39,4.06,0.0,93.18,0.0,93.69,90.94,93.67,5.27,5.92,5.0,6.33,3.41,0.0,4.93,2.5,0.0
Santander (ETC),Santander,Guadalupe,2016,68320,68,3808,1082,88.0,87.99,36.84,78.14,91.14,57.71,98.24,49.47,88.96,117.71,110.29,22.73,1.51,0.0,0.97,2.09,1.94,92.27,0.0,97.32,83.81,97.42,6.22,1.7,14.1,0.65,1.41,0.0,1.7,1.57,0.65
Santander (ETC),Santander,Guapotá,2016,68322,68,3808,432,87.7,87.73,51.22,75.81,86.67,60.0,97.69,90.24,89.25,113.33,94.29,28.57,5.58,5.41,4.82,8.21,1.75,85.03,5.41,92.17,70.9,94.74,9.39,3.01,20.9,3.51,3.81,0.0,0.6,9.7,1.75
Santander (ETC),Santander,Guavatá,2016,68324,68,3808,741,60.5,60.46,21.88,63.84,51.46,34.35,73.41,46.88,73.62,82.43,69.47,11.11,0.21,3.33,0.0,0.0,0.0,96.71,0.0,99.12,92.5,98.59,3.08,0.88,7.5,1.41,3.9,0.0,2.65,6.88,2.82
Santander (ETC),Santander,Güepsa,2016,68327,68,3808,735,107.1,107.07,34.38,86.84,107.63,80.92,123.95,65.63,116.45,147.46,127.48,80.0,1.92,2.38,0.61,2.52,3.45,90.4,0.0,97.87,82.97,87.59,7.68,1.52,14.51,8.97,0.0,0.0,0.0,0.0,0.0
Santander (ETC),Santander,Hato,2016,68344,68,3808,432,94.0,93.98,34.21,90.61,88.41,45.33,106.71,68.42,107.73,134.78,72.0,18.18,0.73,0.0,1.03,0.68,0.0,89.76,0.0,89.23,86.39,97.62,9.51,9.74,12.93,2.38,4.88,0.0,4.62,7.48,0.0
Santander (ETC),Santander,Jesús María,2016,68368,68,3808,675,88.7,88.74,25.86,74.11,93.15,57.76,96.74,39.66,89.72,125.57,87.93,8.33,2.35,0.0,1.19,3.77,2.06,90.91,0.0,90.51,87.92,97.94,6.74,8.3,8.3,0.0,0.0,0.0,0.0,0.0,0.0
Santander (ETC),Santander,Jordán,2016,68370,68,3808,219000,132.4,132.42,68.42,123.66,143.48,65.79,146.12,89.47,140.86,192.75,102.63,14.29,4.59,0.0,2.29,7.76,5.26,82.33,0.0,91.6,67.24,94.74,13.07,6.11,25.0,0.0,2.12,0.0,1.53,3.45,0.0
Santander (ETC),Santander,La Belleza,2016,68377,68,3808,1869,68.1,68.11,36.2,66.88,57.92,29.28,77.26,56.44,81.26,83.99,65.42,21.43,2.49,4.35,2.69,2.39,0.71,85.08,0.0,88.31,81.78,74.47,12.43,9.0,15.84,24.82,1.88,1.09,1.42,3.25,0.0
Santander (ETC),Santander,Landázuri,2016,68385,68,3808,3485,69.2,69.24,40.32,69.16,57.68,34.96,76.44,66.35,81.85,84.19,53.04,18.52,4.25,3.92,2.37,7.02,4.4,92.31,0.49,94.75,89.41,87.91,3.44,2.88,3.57,7.69,0.0,0.0,0.0,0.0,0.0
Santander (ETC),Santander,La Paz,2016,68397,68,3808,995,73.0,72.96,37.08,67.54,73.83,46.99,79.7,51.69,76.85,95.33,71.69,18.18,2.39,0.0,0.62,5.28,1.0,91.62,15.22,93.17,89.08,97.0,5.98,6.21,5.63,2.0,2.13,0.0,3.11,1.76,1.0
Santander (ETC),Santander,Lebríja,2016,68406,68,3808,8475,88.3,88.22,45.74,87.11,80.94,47.23,100.64,79.12,107.65,109.05,78.16,50.88,3.28,5.42,2.37,4.15,2.81,89.06,0.0,94.31,82.84,84.93,7.66,3.32,13.01,12.26,1.12,0.0,0.24,2.52,0.89
Santander (ETC),Santander,Los Santos,2016,68418,68,3808,2551,96.9,96.86,50.23,94.45,93.45,54.07,118.35,86.88,131.77,126.33,86.88,41.38,1.91,4.17,1.37,2.25,1.57,93.09,0.0,94.42,90.1,94.97,4.99,4.21,7.65,3.46,1.95,0.52,1.63,2.59,2.2
Santander (ETC),Santander,Macaravita,2016,68425,68,3808,421,105.5,105.46,69.44,89.83,107.41,65.75,122.8,105.56,98.87,159.26,121.92,46.67,1.34,0.0,0.0,3.49,0.0,89.29,2.63,95.43,83.14,84.13,9.38,4.57,13.37,15.87,0.0,0.0,0.0,0.0,0.0
Santander (ETC),Santander,Málaga,2016,68432,68,3808,3497,119.5,119.45,68.69,107.09,119.26,69.39,139.98,96.3,121.2,172.38,145.03,41.67,1.93,3.24,0.52,2.86,2.7,84.68,0.36,92.89,76.86,78.41,13.39,6.59,20.28,18.89,1.91,0.0,1.83,2.39,1.65
Santander (ETC),Santander,Matanza,2016,68444,68,3808,1060,106.6,106.6,64.52,106.24,94.19,52.87,120.19,97.85,121.83,143.9,81.03,28.57,1.94,4.55,1.33,2.03,2.46,94.61,0.0,96.02,92.39,95.08,3.45,2.65,5.58,2.46,0.0,0.0,0.0,0.0,0.0
Santander (ETC),Santander,Mogotes,2016,68464,68,3808,2427,89.9,89.45,49.33,88.68,78.97,42.09,105.85,74.89,115.89,116.54,73.73,26.67,2.36,5.39,1.89,2.15,3.15,92.08,1.8,91.83,91.26,95.5,5.56,6.28,6.59,1.35,1.78,0.6,3.14,0.54,0.0
Santander (ETC),Santander,Molagavita,2016,68468,68,3808,1017,71.0,70.99,25.84,67.23,73.99,47.67,80.24,47.19,75.73,98.14,75.13,14.81,1.51,2.38,1.28,1.46,2.02,92.98,0.0,97.44,87.23,92.93,5.5,1.28,11.31,5.05,0.41,0.0,0.32,0.73,0.0
Santander (ETC),Santander,Ocamonte,2016,68498,68,3808,979,81.8,81.82,54.02,88.1,73.35,30.07,87.33,77.01,104.05,88.4,45.1,15.79,2.52,4.48,2.29,2.64,1.59,89.06,0.0,89.47,84.53,98.41,8.41,8.24,12.83,0.0,1.44,0.0,1.37,2.26,0.0
Santander (ETC),Santander,Oiba,2016,68500,68,3808,2744,76.6,76.57,34.82,63.92,75.25,66.35,84.4,51.82,74.35,96.18,107.16,22.22,1.96,2.34,0.9,3.21,1.6,92.94,0.0,96.38,88.5,92.82,5.1,2.71,8.28,5.59,1.18,0.78,1.36,1.36,0.53
Santander (ETC),Santander,Onzaga,2016,68502,68,3808,1140,63.9,63.95,37.25,59.18,57.41,38.98,71.84,54.9,69.18,80.32,71.19,12.5,1.3,7.14,0.59,1.35,0.0,93.35,0.0,97.64,86.1,95.95,5.35,1.77,12.56,4.05,1.01,0.0,1.77,0.45,0.0
Santander (ETC),Santander,Palmar,2016,68522,68,3808,666,41.6,41.59,22.03,35.71,41.12,32.74,46.4,33.9,43.21,54.67,45.13,100.0,2.11,5.0,0.83,3.92,0.0,86.62,0.0,90.08,76.47,97.56,11.27,9.09,19.61,2.44,0.0,0.0,0.0,0.0,0.0
Santander (ETC),Santander,Palmas del Socorro,2016,68524,68,3808,439,100.0,100.0,74.36,98.91,85.21,58.11,126.65,120.51,142.39,123.24,97.3,22.22,0.86,0.0,1.42,0.69,0.0,99.14,0.0,98.58,99.31,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santander (ETC),Santander,Páramo,2016,68533,68,3808,1016,82.6,82.58,54.44,80.45,69.18,58.06,101.38,91.11,89.55,110.27,121.94,41.67,3.13,2.44,0.0,6.12,7.34,87.72,0.0,96.95,74.46,80.73,9.15,3.05,19.42,11.93,0.12,0.0,0.25,0.0,0.0
Piedecuesta,Santander,Piedecuesta,2016,68547,68,4700,29632,98.7,98.55,67.88,100.48,86.65,51.74,107.74,95.78,114.14,113.13,87.94,50.65,2.87,2.81,1.9,4.17,2.5,89.2,0.12,94.27,81.86,88.76,7.93,3.83,13.97,8.74,1.59,0.54,1.13,2.52,1.04
Santander (ETC),Santander,Pinchote,2016,68549,68,3808,1080,63.5,63.52,29.03,59.91,59.89,43.02,74.54,54.84,68.5,92.37,64.8,27.27,2.24,3.92,1.93,2.68,1.1,93.56,0.0,93.89,91.19,97.8,4.2,4.18,6.13,1.1,7.14,0.0,6.75,10.34,3.3
Santander (ETC),Santander,Puente Nacional,2016,68572,68,3808,2423,131.6,131.57,41.01,92.48,163.18,119.69,150.14,69.12,112.94,204.39,188.71,15.38,3.19,4.67,2.01,3.93,3.16,91.94,0.0,95.53,88.68,92.62,4.86,2.46,7.39,4.22,1.44,0.0,0.91,2.46,0.3
Santander (ETC),Santander,Puerto Parra,2016,68573,68,3808,2024,73.5,73.47,45.51,80.96,51.06,21.66,83.05,75.28,102.12,82.07,40.95,29.41,7.66,13.43,7.13,8.66,0.89,85.59,0.0,86.77,79.95,97.32,6.76,6.1,11.39,1.79,0.0,0.0,0.0,0.0,0.0
Santander (ETC),Santander,Puerto Wilches,2016,68575,68,3808,7428,101.5,101.51,46.48,103.75,78.68,32.41,118.36,110.19,138.43,119.7,66.5,56.25,5.34,4.22,4.46,7.48,4.08,88.44,0.0,90.54,81.72,92.17,6.23,5.0,10.8,3.75,4.88,1.22,4.62,6.96,2.61
Santander (ETC),Santander,Rionegro,2016,68615,68,3808,5879,88.4,88.42,48.92,90.22,75.99,39.57,100.19,90.8,113.84,102.77,65.99,20.21,4.2,5.69,3.74,4.84,3.15,89.92,0.22,92.16,85.24,90.56,5.88,4.11,9.91,6.3,0.74,0.0,0.93,0.85,0.0
Santander (ETC),Santander,Sabana de Torres,2016,68655,68,3808,3872,179.9,179.62,113.57,182.69,141.8,64.35,202.58,185.84,236.53,201.19,128.7,33.33,6.09,6.88,5.85,7.33,2.32,86.49,0.0,88.63,79.17,93.58,7.43,5.52,13.5,4.1,0.25,0.57,0.15,0.35,0.18
Santander (ETC),Santander,San Andrés,2016,68669,68,3808,1513,106.9,106.94,54.48,93.88,111.73,70.31,123.86,77.61,105.02,155.56,134.77,22.22,2.81,0.96,0.75,4.91,3.72,87.15,0.0,93.72,77.97,87.73,10.04,5.53,17.12,8.55,1.49,0.0,1.49,2.22,0.37
Santander (ETC),Santander,San Benito,2016,68673,68,3808,829,53.7,53.68,45.33,50.57,53.01,26.81,56.09,57.33,60.0,60.15,37.68,13.33,1.52,4.65,0.48,1.28,3.85,98.48,0.0,99.52,98.72,96.15,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.64,0.0
Santander (ETC),Santander,San Gil,2016,68679,68,3808,7956,129.8,129.76,92.26,126.34,116.86,83.71,147.84,129.44,143.03,158.09,148.59,48.78,2.93,3.99,1.86,4.16,2.4,91.07,0.18,95.0,86.39,89.54,6.01,3.13,9.45,8.06,0.76,0.0,0.71,0.99,0.7
Santander (ETC),Santander,San Joaquín,2016,68682,68,3808,455,92.3,92.31,60.98,92.63,79.17,28.75,99.78,90.24,107.89,115.97,56.25,22.22,1.2,0.0,0.98,1.38,3.57,91.81,0.0,95.12,84.83,92.86,6.99,3.9,13.79,3.57,0.0,0.0,0.0,0.0,0.0
Santander (ETC),Santander,San José de Miranda,2016,68684,68,3808,902,69.2,69.18,39.51,66.93,61.32,27.45,86.03,72.84,79.53,107.32,69.28,47.37,1.07,0.0,0.99,0.89,2.86,85.82,0.0,94.39,70.54,85.71,13.11,4.62,28.57,11.43,1.68,1.69,0.33,4.02,0.0
Santander (ETC),Santander,San Miguel,2016,68686,68,3808,449,102.0,102.0,60.98,86.56,107.86,41.46,123.16,90.24,96.77,181.43,100.0,23.08,1.22,0.0,0.0,2.36,1.59,91.26,0.0,100.0,80.66,96.83,7.52,0.0,16.98,1.59,2.85,0.0,2.22,4.72,0.0
Santander (ETC),Santander,San Vicente de Chucurí,2016,68689,68,3808,7661,80.7,80.73,40.67,77.34,71.41,46.08,91.07,72.08,94.42,99.84,74.54,30.93,4.97,5.08,3.16,7.57,4.35,88.45,3.09,91.25,83.22,90.79,6.58,5.59,9.21,4.86,1.1,2.87,0.93,1.27,0.26
Santander (ETC),Santander,Santa Bárbara,2016,68705,68,3808,440,94.5,94.55,38.46,86.84,88.57,60.56,112.95,64.1,100.53,158.57,83.1,8.33,3.99,0.0,0.52,10.26,0.0,86.85,0.0,94.76,72.44,94.44,9.15,4.71,17.31,5.56,5.63,4.0,7.33,5.77,0.0
Santander (ETC),Santander,Santa Helena del Opón,2016,68720,68,3808,1037,71.2,71.17,39.36,75.87,58.48,23.08,84.67,55.32,93.27,99.39,52.75,20.69,3.65,5.77,1.99,6.67,1.64,95.27,0.0,96.77,92.0,98.36,1.08,1.24,1.33,0.0,0.95,0.0,1.24,0.89,0.0
