ETC,DEPARTAMENTO,MUNICIPIO,AÑO,CÓDIGO_MUNICIPIO,CÓDIGO_DEPARTAMENTO,CÓDIGO_ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
Bolívar (ETC),Bolívar,Arjona,2011,13052,13,3767,17667,78.27,78.3,51.2,77.4,56.5,34.7,96.1,92.5,109.4,89.7,77.8,61.29,3.65,3.36,5.53,1.91,1.1,95.81,0.08,93.89,97.74,97.55,0.54,0.58,0.35,1.35,1.92,2.4,2.14,2.09,0.13
Bolívar (ETC),Bolívar,Arroyohondo,2011,13062,13,3767,2575,64.5,64.5,44.6,61.4,47.5,25.7,84.2,53.5,99.8,80.4,67.6,16.67,3.52,0.88,4.05,2.89,4.67,95.2,0.0,95.58,95.08,92.61,1.28,0.37,2.03,2.72,5.54,0.0,6.14,6.08,4.67
Bolívar (ETC),Bolívar,Barranco de Loba,2011,13074,13,3767,4952,91.76,91.8,48.0,97.8,54.8,25.5,103.5,78.1,134.1,91.5,61.3,25.0,5.2,3.31,7.82,1.96,0.46,93.93,0.3,91.42,97.12,97.7,0.86,0.75,0.91,1.84,2.27,0.6,3.48,0.98,0.0
Bolívar (ETC),Bolívar,Calamar,2011,13140,13,3767,6056,103.09,102.9,55.9,105.6,70.0,37.9,131.1,117.0,141.2,127.1,120.6,12.5,0.22,1.2147362361797391,0.15,0.42,0.12,99.24,0.0,99.55,98.75,98.82,0.54,0.3,0.84,1.06,3.27,2.41,3.43,3.9,1.65
Bolívar (ETC),Bolívar,Cantagallo,2011,13160,13,3767,2251,84.98,84.9,48.7,97.8,40.7,13.9,97.9,113.0,138.5,72.3,41.3,9.09,2.35,2.7772144686305573,2.83,2.48,0.89,96.75,0.0,96.28,97.52,92.86,0.9,0.89,0.0,6.25,3.0,1.44,1.53,8.56,0.0
Bolívar (ETC),Bolívar,Cicuco,2011,13188,13,3767,2885,100.03,100.0,66.4,99.7,62.0,30.5,120.6,139.1,142.0,112.8,74.1,30.0,2.51,2.11,1.96,3.5,2.93,96.91,5.44,98.04,96.5,97.07,0.58,0.0,0.0,0.0,3.56,4.23,5.32,1.31,0.37
Bolívar (ETC),Bolívar,Córdoba,2011,13212,13,3767,3596,107.26,107.3,76.3,108.6,73.8,30.8,135.8,118.4,157.2,136.3,90.6,23.81,1.17,0.56,0.7,2.02,1.19,98.76,0.0,99.3,97.98,98.1,0.07,0.0,0.0,0.71,0.69,0.0,0.84,0.84,0.0
Bolívar (ETC),Bolívar,Clemencia,2011,13222,13,3767,3500,84.71,84.7,68.0,88.2,61.4,39.6,100.1,82.8,119.2,92.1,78.6,8.33,0.76,0.8967314707075857,0.78,0.43,2.13,99.08,0.0,98.89,99.57,97.87,0.16,0.33,0.0,0.0,2.14,0.0,3.85,0.32,0.91
Bolívar (ETC),Bolívar,El Carmen de Bolívar,2011,13244,13,3767,20071,80.24,80.2,50.5,78.0,57.7,30.7,94.0,83.1,107.9,90.4,70.9,31.68,2.68,1.52,2.33,3.19,3.84,96.53,0.51,97.1,96.35,92.94,0.79,0.57,0.46,3.22,1.52,1.28,1.48,1.97,0.46
Bolívar (ETC),Bolívar,El Guamo,2011,13248,13,3767,1784,85.54,85.5,53.4,88.0,56.3,33.8,99.0,67.8,119.4,94.3,73.7,62.5,2.52,1.8510344533166716,1.2,3.98,5.26,97.42,0.0,98.8,95.83,94.74,0.06,0.0,0.19,0.0,4.44,0.0,4.33,7.02,0.48
Bolívar (ETC),Bolívar,El Peñón,2011,13268,13,3767,2496,86.42,85.5,70.8,82.8,48.5,22.6,99.3,168.9,118.5,81.2,52.6,47.62,3.47,1.7,3.3,3.56,7.69,96.4,0.0,96.45,96.44,92.31,0.13,0.25,0.0,0.0,2.17,1.42,1.57,3.87,1.65
Bolívar (ETC),Bolívar,Hatillo de Loba,2011,13300,13,3767,3454,101.8,101.8,62.5,100.4,65.1,15.1,120.6,120.6,141.9,123.7,60.5,40.0,5.22,1.42,3.12,9.96,1.95,93.82,0.0,95.74,90.04,92.19,0.95,1.14,0.0,5.86,4.6,1.14,5.55,4.79,0.78
Magangué,Bolívar,Magangué,2011,13430,13,3768,31078,99.56,99.1,65.5,97.1,66.7,33.8,122.6,119.7,148.4,113.5,77.5,35.29,8.03,3.41,5.87,11.71,11.37,91.78,0.0,94.13,88.29,86.55,0.2,0.0,0.0,2.08,2.35,1.41,2.24,3.2,0.95
Bolívar (ETC),Bolívar,Mahates,2011,13433,13,3767,6174,90.64,90.6,54.7,91.2,66.5,41.0,112.1,92.0,131.5,103.8,91.0,16.0,0.67,0.65,0.49,0.98,0.55,99.33,0.0,99.51,99.02,99.45,0.0,0.0,0.0,0.0,2.21,1.52,1.09,4.06,2.08
Bolívar (ETC),Bolívar,Margarita,2011,13440,13,3767,2623,92.34,92.3,80.2,85.1,64.1,28.6,108.7,113.2,121.7,108.8,77.4,41.67,3.14,1.67,3.78,3.25,1.33,96.86,0.0,96.22,96.75,98.67,0.0,0.0,0.0,0.0,2.99,0.42,3.3,3.59,1.99
Bolívar (ETC),Bolívar,María la Baja,2011,13442,13,3767,13170,89.7,89.7,70.7,92.8,61.4,26.6,116.5,91.5,149.6,105.3,69.3,60.0,2.31,2.18,2.73,1.94,1.39,96.49,0.0,96.17,96.26,97.91,1.2,1.09,1.8,0.7,3.15,0.2,3.78,3.45,1.13
Bolívar (ETC),Bolívar,Montecristo,2011,13458,13,3767,5251,63.93,63.9,34.6,72.7,21.1,4.2,72.9,90.1,115.9,43.1,13.7,8.89,9.02,4.49,8.62,13.98,2.63,90.32,5.24,91.3,85.86,97.37,0.66,0.08,0.15,0.0,1.3,2.49,0.85,2.26,1.32
Bolívar (ETC),Bolívar,Mompós,2011,13468,13,3767,11657,100.34,100.3,57.4,100.6,70.1,35.6,120.5,116.1,135.5,119.5,89.1,50.0,6.17,3.08,6.2,6.95,6.08,93.54,0.0,93.78,92.36,93.3,0.3,0.02,0.68,0.62,2.04,0.84,2.88,1.49,0.92
Bolívar (ETC),Bolívar,Morales,2011,13473,13,3767,5589,81.93,81.9,46.7,87.4,44.5,14.3,99.3,78.1,133.7,89.8,42.8,20.31,12.13,1.69,9.18,20.636550986337852,3.07,87.62,0.0,90.44,77.05,96.93,0.25,0.38,0.07,0.0,1.41,0.28,1.54,1.52,1.02
Bolívar (ETC),Bolívar,Norosi,2011,13490,13,3767,0,85.47448779009454,85.76740025815012,61.196190707582105,82.52377762885732,68.47759554242128,38.90815331181284,99.03524489480793,85.84002328799244,107.57144640141541,103.4347184127148,76.08460196111048,43.043403628294755,3.4849351969061897,3.235360902795147,2.753921911541916,4.647977877069696,3.3076866701337693,91.57930418213256,0.38211178001843393,93.20799503878308,88.39677182964192,92.4695659624265,4.8218375866639285,3.9647417011135686,6.957443934494189,4.334248873266418,3.375081495316344,0.9188780890257959,3.1239543993709447,4.436145334067021,1.6582900654397754
Bolívar (ETC),Bolívar,Pinillos,2011,13549,13,3767,7058,89.71,89.7,61.1,89.6,53.2,22.3,102.3,97.9,128.5,94.3,52.3,29.79,4.06,5.32,3.89,4.41,2.63,93.93,0.67,93.85,93.48,95.96,2.01,2.26,2.11,1.4,2.01,0.17,1.94,3.11,0.35
Bolívar (ETC),Bolívar,Regidor,2011,13580,13,3767,2871,45.73,45.7,26.5,42.6,29.3,11.0,67.7,55.7,77.4,62.7,56.6,33.33,4.82,2.84,5.11,5.23,3.91,94.97,0.0,94.89,94.77,93.75,0.2,0.0,0.0,2.34,0.68,0.0,1.05,0.45,0.0
Bolívar (ETC),Bolívar,Río Viejo,2011,13600,13,3767,6384,35.54,35.5,16.6,31.3,25.3,9.8,47.7,41.0,54.4,47.4,31.8,25.0,2.16,3.003511291715153,0.55,0.53,12.093900153295973,97.65,0.0,99.45,99.47,79.27,0.19,0.0,0.0,2.03,1.19,3.07,1.81,0.21,0.0
Bolívar (ETC),Bolívar,San Cristóbal,2011,13620,13,3767,1541,94.48,94.5,64.2,93.4,63.5,35.5,108.2,114.6,120.2,106.2,80.9,60.0,1.19,0.71,1.07,1.36,1.6,98.74,0.0,98.93,98.64,97.86,0.06,0.0,0.0,0.53,4.14,4.136859085484701,2.67,5.83,0.0
